complex_name,uniprot_1,uniprot_2,uniprot_3,uniprot_4,uniprot_5,complex_key,symbol_1,symbol_2,symbol_3,symbol_4,symbol_5
IL26_receptor,Q9UHF4,Q08334,,,,Q08334_Q9UHF4,I20RA,I10R2,,,
IL27,Q14213,Q8NEV9,,,,Q14213_Q8NEV9,IL27B,IL27A,,,
IL27_receptor,Q6UWB1,P40189,,,,P40189_Q6UWB1,I27RA,IL6RB,,,
IL28_receptor,Q8IU57,Q08334,,,,Q08334_Q8IU57,INLR1,I10R2,,,
IL3_receptor,P32927,P26951,,,,P26951_P32927,IL3RB,IL3RA,,,
IL33_receptor,Q01638,Q9NPH3,,,,Q01638_Q9NPH3,ILRL1,IL1AP,,,
IL35,Q14213,P29459,,,,P29459_Q14213,IL27B,IL12A,,,
IL35_receptor,P40189,Q99665,,,,P40189_Q99665,IL6RB,I12R2,,,
IL36_receptor,Q9HB29,Q9NPH3,,,,Q9HB29_Q9NPH3,ILRL2,IL1AP,,,
IL37_receptor,Q13478,Q6IA17,,,,Q13478_Q6IA17,IL18R,SIGIR,,,
IL4_receptor,P31785,P24394,,,,P24394_P31785,IL2RG,IL4RA,,,
IL5_receptor,P32927,Q01344,,,,P32927_Q01344,IL3RB,IL5RA,,,
IL6_receptor,P08887,P40189,,,,P08887_P40189,IL6RA,IL6RB,,,
IL7_receptor,P16871,P31785,,,,P16871_P31785,IL7RA,IL2RG,,,
IL9_receptor,Q01113,P31785,,,,P31785_Q01113,IL9R,IL2RG,,,
integrin_a10b1_complex,P05556,O75578,,,,O75578_P05556,ITB1,ITA10,,,
integrin_a11b1_complex,P05556,Q9UKX5,,,,P05556_Q9UKX5,ITB1,ITA11,,,
integrin_a1b1_complex,P05556,P56199,,,,P05556_P56199,ITB1,ITA1,,,
integrin_a2b1_complex,P05556,P17301,,,,P05556_P17301,ITB1,ITA2,,,
integrin_a2Bb3_complex,P08514,P05106,,,,P05106_P08514,ITA2B,ITB3,,,
integrin_a3b1_complex,P05556,P26006,,,,P05556_P26006,ITB1,ITA3,,,
integrin_a4b1_complex,P05556,P13612,,,,P05556_P13612,ITB1,ITA4,,,
integrin_a4b7_complex,P26010,P13612,,,,P13612_P26010,ITB7,ITA4,,,
integrin_a5b1_complex,P05556,P08648,,,,P05556_P08648,ITB1,ITA5,,,
integrin_a6b1_complex,P05556,P23229,,,,P05556_P23229,ITB1,ITA6,,,
integrin_a6b4_complex,P16144,P23229,,,,P16144_P23229,ITB4,ITA6,,,
integrin_a7b1_complex,P05556,Q13683,,,,P05556_Q13683,ITB1,ITA7,,,
integrin_a8b1_complex,P05556,P53708,,,,P05556_P53708,ITB1,ITA8,,,
integrin_a9b1_complex,P05556,Q13797,,,,P05556_Q13797,ITB1,ITA9,,,
integrin_aDb2_complex,P05107,Q13349,,,,P05107_Q13349,ITB2,ITAD,,,
integrin_aEb7_complex,P26010,P38570,,,,P26010_P38570,ITB7,ITAE,,,
